Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,1,1,1,2,Matches
127,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,9,5,4,4,1,6,15,40.0,9,96,25,26.0,28,43,25,9,1,0,8,10,19,12,0,Matches
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,31,21,18,11,2,8,27,29.6,19,203,65,32.0,108,82,13,22,3,0,19,13,44,19,0,Matches
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,0,0,0,0,0,0,1,0,Matches
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,5,4,3,2,0,1,6,16.7,5,34,11,32.4,12,13,9,2,0,0,2,1,6,3,0,Matches
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,2,1,2,0,0,2,3,66.7,1,12,1,8.3,5,7,0,1,0,0,1,1,3,0,0,Matches
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,29,21,7,11,11,12,34,35.3,22,537,146,27.2,80,222,235,24,4,0,20,22,51,6,0,Matches
133,Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,3,1,2,0,1,0,4,0.0,4,70,18,25.7,8,30,32,6,0,0,6,0,3,1,0,Matches
134,Miguel Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,1,1,0,1,0,1,1,100.0,0,15,4,26.7,6,6,3,2,1,0,1,2,3,2,0,Matches
135,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,eng Premier League,27,1992,8.3,12,9,4,6,2,4,15,26.7,11,243,47,19.3,98,105,40,28,1,0,27,2,14,6,0,Matches
136,Youcef Attal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,29,17,15,10,4,15,34,44.1,19,195,53,27.2,75,77,43,24,0,0,24,20,49,12,0,Matches
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,39,24,15,14,10,12,50,24.0,38,573,130,22.7,113,256,204,59,2,0,57,11,50,16,0,Matches
138,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,1,2,Matches
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,15,13,7,4,4,5,8,62.5,3,97,17,17.5,48,31,18,19,2,0,17,14,29,19,1,Matches
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,2,0,0,2,0,0,4,0.0,4,39,13,33.3,4,20,15,2,0,0,2,2,4,0,0,Matches
141,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,30,18,17,11,2,13,32,40.6,19,164,56,34.1,77,57,30,23,5,0,18,13,43,35,0,Matches
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,98,55,66,26,6,32,61,52.5,29,521,153,29.4,262,187,72,58,7,0,51,43,141,105,1,Matches
143,Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,1991,13.6,24,11,6,11,7,4,22,18.2,18,316,71,22.5,71,164,81,24,2,0,22,9,33,6,0,Matches
144,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,19,16,6,10,3,5,15,33.3,10,342,92,26.9,22,141,179,17,0,0,17,4,23,7,0,Matches
145,Javier Avilés,es ESP,"MF,FW",Leganés,es La Liga,21,1997,2.0,7,3,3,3,1,4,7,57.1,3,52,11,21.2,17,24,11,4,0,0,4,3,10,2,0,Matches
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,39,26,32,7,0,12,25,48.0,13,204,71,34.8,126,72,6,38,15,0,23,28,67,141,2,Matches
147,Taiwo Awoniyi,ng NGA,FW,Mainz 05,de Bundesliga,21,1997,5.4,2,2,0,1,1,2,7,28.6,5,79,23,29.1,10,40,29,7,2,0,5,2,4,1,0,Matches
148,Florian Ayé,fr FRA,"FW,MF",Brescia,it Serie A,22,1997,15.3,20,13,10,6,4,6,15,40.0,9,494,100,20.2,54,250,190,34,3,0,31,4,24,19,0,Matches
149,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,27,1991,35.0,54,29,16,21,17,15,45,33.3,30,1018,219,21.5,178,515,325,35,6,0,29,13,67,20,0,Matches
150,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,51,33,34,14,3,18,38,47.4,20,266,100,37.6,147,95,24,34,16,0,18,45,96,106,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,17,14,3,11,3,4,13,30.8,9,330,82,24.8,58,191,81,17,2,0,15,21,38,15,0,Matches
152,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,102,61,50,38,14,37,74,50.0,37,568,186,32.7,250,221,97,81,20,0,61,66,168,146,0,Matches
153,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,34,21,17,14,3,12,25,48.0,13,178,62,34.8,96,65,17,22,3,0,19,17,51,31,1,Matches
154,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,68,45,33,31,4,17,69,24.6,52,580,188,32.4,231,307,42,34,8,0,26,41,109,71,1,Matches
155,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,17,9,2,7,8,2,15,13.3,13,290,47,16.2,36,144,110,19,6,0,13,3,20,30,0,Matches
156,Carlos Bacca,co COL,"FW,MF",Villarreal,es La Liga,32,1986,7.6,3,1,1,0,2,1,7,14.3,6,84,21,25.0,10,37,37,5,0,0,5,0,3,5,0,Matches
157,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,36,26,11,23,2,11,51,21.6,40,318,87,27.4,103,171,44,35,3,0,32,42,78,42,1,Matches
158,Matthias Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,1,1,1,0,0,1,1,100.0,0,1,1,100.0,1,0,0,0,0,0,0,0,1,0,0,Matches
159,Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,0,2,0,0,0,0,0,0,0,0,Matches
160,Alejandro Baena,es ESP,MF,Villarreal,es La Liga,18,2001,0.2,1,0,1,0,0,0,1,0.0,1,4,0,0.0,2,1,1,0,0,0,0,0,1,0,0,Matches
161,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,7,4,0,3,4,0,4,0.0,4,210,40,19.0,7,102,101,4,1,0,3,1,8,6,0,Matches
162,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,35,23,18,13,4,12,49,24.5,37,318,73,23.0,125,164,29,33,6,0,27,56,91,55,0,Matches
163,Leon Bailey,jm JAM,"FW,MF",Leverkusen,de Bundesliga,21,1997,12.1,9,4,2,5,2,4,13,30.8,9,170,46,27.1,36,74,60,10,2,0,8,9,18,8,0,Matches
164,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,0,0,0,0,0,0,1,0.0,1,17,4,23.5,10,7,0,3,3,0,0,3,3,7,0,Matches
165,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,29,19,22,7,0,7,9,77.8,2,99,33,33.3,64,33,2,22,11,0,11,30,59,102,1,Matches
166,Leighton Baines,eng ENG,DF,Everton,eng Premier League,34,1984,4.5,10,6,7,2,1,2,7,28.6,5,51,14,27.5,28,10,13,11,2,0,9,5,15,12,0,Matches
167,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Tiemoué Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,1994,19.1,70,49,20,42,8,21,48,43.8,27,414,123,29.7,105,235,74,25,6,0,19,28,98,20,1,Matches
169,Lewis Baker,eng ENG,MF,Düsseldorf,de Bundesliga,24,1995,6.1,7,4,5,2,0,2,14,14.3,12,152,36,23.7,50,88,14,8,3,0,5,1,8,9,0,Matches
170,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19,2000,1.0,3,3,1,2,0,0,1,0.0,1,13,9,69.2,8,3,2,1,0,0,1,0,3,0,0,Matches
171,Ridle Baku,de GER,"DF,MF",Mainz 05,de Bundesliga,21,1998,26.1,56,35,27,23,6,20,55,36.4,35,519,147,28.3,201,236,82,73,8,0,65,42,98,65,0,Matches
172,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,27,1991,13.1,18,11,14,3,1,6,26,23.1,20,116,40,34.5,91,22,3,27,7,0,20,26,44,93,1,Matches
173,Keita Baldé,sn SEN,"FW,MF",Monaco,fr Ligue 1,24,1995,9.5,11,8,4,4,3,1,8,12.5,7,145,44,30.3,27,58,60,9,1,0,8,2,13,10,0,Matches
174,George Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,26,1993,38.0,74,45,44,17,13,25,48,52.1,23,564,158,28.0,243,209,112,63,5,0,58,37,111,87,3,Matches
175,Gareth Bale,wal WAL,"FW,MF",Real Madrid,es La Liga,30,1989,12.1,10,7,5,2,3,4,16,25.0,12,105,30,28.6,20,47,38,16,2,0,14,6,16,9,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
176,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,1988,6.3,11,5,2,7,2,5,8,62.5,3,83,23,27.7,36,38,9,17,3,0,14,1,12,19,0,Matches
177,Leonardo Balerdi,ar ARG,"DF,MF",Dortmund,de Bundesliga,20,1999,1.5,2,1,1,1,0,2,4,50.0,2,18,3,16.7,10,8,0,0,0,0,0,4,6,5,0,Matches
178,Marco Ballarini,it ITA,MF,Udinese,it Serie A,18,2001,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
179,Fodé Ballo-Touré,fr FRA,DF,Monaco,fr Ligue 1,22,1997,18.7,42,24,26,11,5,15,31,48.4,16,255,84,32.9,126,91,38,29,1,0,28,23,65,47,0,Matches
180,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,39,1980,4.5,16,9,5,11,0,5,12,41.7,7,99,28,28.3,36,54,9,6,0,0,6,2,18,2,0,Matches
181,Mario Balotelli,it ITA,FW,Brescia,it Serie A,28,1990,15.6,4,2,1,3,0,0,2,0.0,2,153,28,18.3,11,75,67,10,3,0,7,8,12,20,0,Matches
182,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,29,1990,6.2,13,6,9,1,3,7,14,50.0,7,62,14,22.6,28,24,10,9,1,0,8,4,17,14,0,Matches
183,Jonathan Bamba,fr FRA,"FW,MF",Lille,fr Ligue 1,23,1996,21.5,16,10,5,10,1,7,27,25.9,20,343,94,27.4,82,174,87,31,4,0,27,16,32,7,1,Matches
184,Éver Banega,ar ARG,MF,Sevilla,es La Liga,31,1988,27.5,51,30,16,24,11,23,68,33.8,45,452,122,27.0,127,245,80,20,2,0,18,15,66,11,0,Matches
185,Mattia Bani,it ITA,DF,Bologna,it Serie A,25,1993,24.5,54,33,28,25,1,18,32,56.3,14,389,129,33.2,220,159,10,46,17,0,29,51,105,172,0,Matches
186,Antonín Barák,cz CZE,MF,Udinese,it Serie A,24,1994,2.2,4,1,3,0,1,0,6,0.0,6,79,15,19.0,16,42,21,6,1,0,5,0,4,1,0,Matches
187,Antonín Barák,cz CZE,MF,Lecce,it Serie A,24,1994,15.2,24,18,14,9,1,11,27,40.7,16,310,83,26.8,117,137,56,29,0,0,29,9,33,14,0,Matches
188,Federico Barba,it ITA,DF,Valladolid,es La Liga,25,1993,5.0,11,8,9,2,0,7,8,87.5,1,42,13,31.0,20,15,7,13,3,0,10,8,19,23,0,Matches
189,Danilo Barbosa,br BRA,"DF,MF",Nice,fr Ligue 1,23,1996,12.5,30,15,19,9,2,14,32,43.8,18,207,63,30.4,78,96,33,28,6,0,22,19,49,42,0,Matches
190,Melvin Bard,fr FRA,DF,Lyon,fr Ligue 1,18,2000,0.5,0,0,0,0,0,0,0,,0,5,3,60.0,3,2,0,0,0,0,0,1,1,0,0,Matches
191,Enis Bardhi,mk MKD,MF,Levante,es La Liga,24,1995,23.5,34,27,10,19,5,8,34,23.5,26,405,93,23.0,128,187,90,25,4,0,21,14,48,17,1,Matches
192,Phil Bardsley,sco SCO,DF,Burnley,eng Premier League,34,1985,21.0,55,33,21,25,9,18,33,54.5,15,234,65,27.8,101,111,22,43,12,1,31,29,84,88,0,Matches
193,Nicolò Barella,it ITA,MF,Inter,it Serie A,22,1997,22.4,41,31,15,20,6,11,48,22.9,37,402,109,27.1,115,198,89,33,5,0,28,14,55,21,0,Matches
194,Philipp Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,30,1989,6.5,19,11,10,6,3,8,21,38.1,13,139,38,27.3,47,81,11,7,2,0,5,20,39,20,0,Matches
195,Antonino Barillà,it ITA,MF,Parma,it Serie A,31,1988,18.8,48,33,21,19,8,13,46,28.3,33,453,107,23.6,214,179,60,41,6,0,35,19,67,35,0,Matches
196,Kike Barja,es ESP,"MF,FW",Osasuna,es La Liga,22,1997,3.5,1,1,1,0,0,1,2,50.0,1,48,10,20.8,7,24,17,5,1,0,4,0,1,1,0,Matches
197,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,25,1993,12.3,16,11,6,8,2,4,17,23.5,13,171,50,29.2,17,96,58,11,3,1,8,8,24,12,0,Matches
198,Aymen Barkok,de GER,"FW,MF",Düsseldorf,de Bundesliga,21,1998,0.9,1,0,0,0,1,0,2,0.0,2,20,4,20.0,7,4,9,7,1,0,6,3,4,2,0,Matches
199,Ashley Barnes,at AUT,FW,Burnley,eng Premier League,29,1989,15.0,6,4,1,3,2,2,13,15.4,11,275,63,22.9,20,121,134,17,4,0,13,6,12,14,0,Matches
200,Harvey Barnes,eng ENG,"MF,FW",Leicester City,eng Premier League,21,1997,23.1,22,12,10,9,3,7,26,26.9,19,328,86,26.2,69,153,106,23,4,0,19,5,27,7,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
201,Antonio Barragán,es ESP,DF,Betis,es La Liga,32,1987,7.1,3,1,1,1,1,1,6,16.7,5,47,11,23.4,21,17,9,9,2,0,7,7,10,28,0,Matches
202,Antonio Barreca,it ITA,"DF,MF",Genoa,it Serie A,24,1995,12.2,9,3,4,3,2,2,5,40.0,3,110,26,23.6,43,39,28,23,6,0,17,1,10,21,0,Matches
203,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,19,2000,10.4,39,25,15,21,3,10,22,45.5,12,243,69,28.4,78,144,21,25,4,0,21,9,48,21,0,Matches
204,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,17,2001,4.9,11,6,4,6,1,3,9,33.3,6,128,39,30.5,32,60,36,5,0,0,5,4,15,5,0,Matches
205,Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,35,1984,1.0,5,2,0,2,3,3,4,75.0,1,19,6,31.6,4,8,7,1,0,0,1,0,5,0,0,Matches
206,Musa Barrow,gm GAM,FW,Bologna,it Serie A,20,1998,15.0,18,9,9,7,2,5,22,22.7,17,296,75,25.3,51,117,128,19,0,0,19,4,22,11,1,Matches
207,Musa Barrow,gm GAM,"FW,MF",Atalanta,it Serie A,20,1998,2.1,1,1,1,0,0,0,1,0.0,1,46,10,21.7,5,21,20,3,0,0,3,0,1,1,0,Matches
208,Fin Bartels,de GER,"FW,MF",Werder Bremen,de Bundesliga,32,1987,3.8,11,4,5,4,2,6,12,50.0,6,76,14,18.4,19,34,23,3,1,0,2,1,12,5,0,Matches
209,Marc Bartra,es ESP,"DF,MF",Betis,es La Liga,28,1991,28.0,62,37,41,21,0,16,37,43.2,21,339,112,33.0,175,149,15,59,27,0,32,35,97,181,0,Matches
210,Daniele Baselli,it ITA,MF,Torino,it Serie A,27,1992,14.2,48,32,24,15,9,12,46,26.1,34,329,87,26.4,124,152,53,32,5,0,27,25,73,31,1,Matches
211,Chris Basham,eng ENG,DF,Sheffield Utd,eng Premier League,31,1988,36.0,84,50,57,23,4,32,79,40.5,47,416,135,32.5,264,119,33,57,19,1,38,73,157,264,2,Matches
212,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,22,1996,11.0,33,21,17,15,1,14,34,41.2,20,274,81,29.6,75,155,44,16,3,0,13,9,42,19,0,Matches
213,Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,20,1999,4.6,6,1,2,4,0,4,5,80.0,1,28,12,42.9,16,12,0,3,1,0,2,4,10,27,0,Matches
214,Gil Bastião Dias,pt POR,"DF,MF",Granada,es La Liga,22,1996,4.0,19,10,10,6,3,5,15,33.3,10,95,22,23.2,43,32,20,4,1,0,3,3,22,8,0,Matches
215,Gil Bastião Dias,pt POR,"DF,MF",Monaco,fr Ligue 1,22,1996,11.7,56,33,29,23,4,21,56,37.5,35,298,92,30.9,110,136,52,25,2,0,23,14,70,26,1,Matches
216,Borja Bastón,es ESP,"MF,FW",Aston Villa,eng Premier League,26,1992,0.2,0,0,0,0,0,0,2,0.0,2,10,1,10.0,0,9,1,1,0,0,1,0,0,1,1,Matches
217,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,20,1999,21.3,38,21,16,15,7,16,32,50.0,16,246,67,27.2,107,111,28,34,13,0,21,26,64,74,0,Matches
218,Bastos,ao ANG,DF,Lazio,it Serie A,28,1991,8.5,13,10,7,6,0,4,14,28.6,10,111,32,28.8,67,38,6,17,10,0,7,14,27,33,0,Matches
219,Oliver Batista-Meier,de GER,FW,Bayern Munich,de Bundesliga,18,2001,0.1,0,0,0,0,0,0,2,0.0,2,3,0,0.0,2,1,0,0,0,0,0,0,0,0,0,Matches
220,Michy Batshuayi,be BEL,FW,Chelsea,eng Premier League,25,1993,2.7,2,1,2,0,0,0,2,0.0,2,72,17,23.6,5,34,33,4,2,0,2,0,2,1,0,Matches
221,Cristian Battocchio,it ITA,MF,Brest,fr Ligue 1,27,1992,15.5,32,25,11,16,5,9,37,24.3,28,282,72,25.5,86,138,58,18,4,0,14,19,51,34,0,Matches
222,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30.0,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,1,0,0,1,3,3,3,0,Matches
223,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,31,1988,19.9,43,29,18,18,7,13,49,26.5,36,432,151,35.0,147,224,61,49,5,0,44,23,66,20,1,Matches
224,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,de Bundesliga,19,1999,16.6,35,21,17,13,5,9,42,21.4,33,412,115,27.9,97,172,143,31,2,0,29,7,42,10,0,Matches
225,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,de Bundesliga,22,1996,4.2,2,2,0,2,0,1,3,33.3,2,75,17,22.7,17,42,16,5,1,0,4,5,7,4,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
226,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,de Bundesliga,25,1994,23.4,26,18,12,10,4,8,27,29.6,19,366,94,25.7,67,171,128,28,5,0,23,10,36,30,0,Matches
227,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,23,1996,24.6,69,45,44,20,5,28,52,53.8,24,327,102,31.2,214,92,21,50,22,0,28,43,112,95,1,Matches
228,Sheraldo Becker,nl NED,"MF,FW",Union Berlin,de Bundesliga,24,1995,6.0,4,2,3,0,1,1,6,16.7,5,84,20,23.8,20,45,19,3,0,0,3,0,4,3,0,Matches
229,Timo Becker,de GER,"DF,MF",Schalke 04,de Bundesliga,22,1997,3.7,14,5,5,6,3,5,10,50.0,5,66,21,31.8,31,23,12,5,1,0,4,3,17,7,0,Matches
230,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,23,1996,34.0,70,38,47,16,7,32,73,43.8,41,321,102,31.8,205,103,13,61,26,0,35,74,144,329,4,Matches
231,Asmir Begović,ba BIH,GK,Milan,it Serie A,32,1987,1.4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
232,Valon Behrami,ch SUI,MF,Genoa,it Serie A,34,1985,12.3,36,25,12,18,6,8,35,22.9,27,358,100,27.9,123,188,47,35,10,0,25,9,45,17,0,Matches
233,Maximilian Beier,de GER,FW,Hoffenheim,de Bundesliga,16,2002,1.2,4,3,1,1,2,1,3,33.3,2,38,14,36.8,3,19,16,0,0,0,0,0,4,0,0,Matches
234,Gaëtan Belaud,fr FRA,DF,Brest,fr Ligue 1,32,1986,6.4,13,8,9,4,0,4,10,40.0,6,52,10,19.2,26,14,12,15,3,0,12,14,27,16,0,Matches
235,Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,de Bundesliga,27,1992,3.0,1,1,0,0,1,0,0,,0,13,4,30.8,1,4,8,2,1,0,1,0,1,2,0,Matches
236,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,25,1994,20.2,57,42,27,25,5,11,34,32.4,23,440,124,28.2,165,216,59,39,6,0,33,54,111,30,0,Matches
237,Raoul Bellanova,it ITA,DF,Bordeaux,fr Ligue 1,19,2000,0.7,2,1,2,0,0,0,1,0.0,1,11,3,27.3,4,4,3,0,0,0,0,0,2,2,0,Matches
238,Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,19,2000,0.2,0,0,0,0,0,0,0,,0,3,2,66.7,0,3,0,0,0,0,0,0,0,0,0,Matches
239,Karim Bellarabi,de GER,"FW,DF",Leverkusen,de Bundesliga,29,1990,15.8,19,11,5,10,4,4,30,13.3,26,297,99,33.3,60,141,96,18,0,0,18,9,28,3,0,Matches
240,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,21,1998,16.6,38,27,19,17,2,7,18,38.9,11,300,103,34.3,99,152,49,20,2,0,18,21,59,18,0,Matches
241,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,24,1995,12.9,23,16,12,7,4,9,31,29.0,22,183,46,25.1,71,87,25,28,4,0,24,18,41,34,0,Matches
242,Andrea Belotti,it ITA,FW,Torino,it Serie A,25,1993,33.4,34,26,13,11,10,6,41,14.6,35,459,104,22.7,54,190,215,26,6,0,20,6,40,18,1,Matches
243,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,20,1999,20.3,34,24,14,14,6,7,27,25.9,20,358,110,30.7,115,193,50,19,1,0,18,15,49,21,0,Matches
244,Sami Ben Amar,ma MAR,FW,Nîmes,fr Ligue 1,21,1998,0.2,1,0,0,0,1,0,0,,0,5,3,60.0,3,1,1,1,0,0,1,1,2,1,0,Matches
245,Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,es La Liga,32,1987,1.8,0,0,0,0,0,0,3,0.0,3,37,8,21.6,6,21,10,1,0,0,1,0,0,0,0,Matches
246,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,28,1990,24.0,19,15,3,11,5,6,20,30.0,14,456,124,27.2,24,183,249,19,0,0,19,4,23,2,0,Matches
247,Marco Benassi,it ITA,MF,Fiorentina,it Serie A,24,1994,10.9,17,10,10,3,4,10,31,32.3,21,226,50,22.1,49,101,76,19,2,0,17,4,21,13,0,Matches
248,Cristian Benavente,pe PER,"MF,FW",Nantes,fr Ligue 1,25,1994,3.9,12,8,3,6,3,3,9,33.3,6,98,27,27.6,11,58,29,2,0,0,2,2,14,1,0,Matches
249,Lars Bender,de GER,"DF,MF",Leverkusen,de Bundesliga,30,1989,15.3,48,32,23,22,3,16,37,43.2,21,297,106,35.7,116,140,41,43,8,0,35,27,75,36,0,Matches
250,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,30,1989,30.3,71,44,37,28,6,27,55,49.1,28,336,137,40.8,161,154,21,60,15,0,45,62,133,169,3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
251,Darío Benedetto,ar ARG,FW,Marseille,fr Ligue 1,33,1986,23.3,16,14,0,11,5,5,23,21.7,18,336,84,25.0,7,132,197,19,7,0,12,3,19,20,0,Matches
252,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,21,1997,10.0,11,9,5,2,4,6,17,35.3,11,189,57,30.2,45,92,52,16,2,0,14,9,20,11,0,Matches
253,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,0,0,0,0,0,0,0,0,Matches
254,Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,27,1992,21.1,45,29,27,13,5,19,47,40.4,28,306,96,31.4,120,130,56,32,7,0,25,27,72,66,0,Matches
255,Bilal Benkhedim,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,18,2001,1.5,6,5,1,3,2,2,5,40.0,3,36,14,38.9,6,24,6,1,0,0,1,1,7,1,0,Matches
256,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,21,1997,27.6,90,59,30,50,10,27,66,40.9,39,588,176,29.9,182,330,76,39,9,0,30,52,142,19,2,Matches
257,Ryan Bennett,eng ENG,DF,Wolves,eng Premier League,29,1990,6.7,4,3,4,0,0,2,7,28.6,5,61,15,24.6,41,19,1,15,7,0,8,9,13,45,1,Matches
258,Ryan Bennett,eng ENG,DF,Leicester City,eng Premier League,29,1990,3.7,5,2,2,3,0,4,6,66.7,2,35,7,20.0,14,19,2,3,1,0,2,7,12,15,0,Matches
