Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
690,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,650,40,202,306,193,6,547,9,26,34.6,10,5,400,2421,1503,419,371,88.5,8,11,Matches
691,Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,de Bundesliga,21,1998,14.5,611,11,135,312,222,37,594,48,66,72.7,51,3,461,4302,2661,522,384,73.6,33,27,Matches
692,Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,5.8,476,17,110,215,198,18,414,4,6,66.7,4,0,298,1639,993,340,312,91.8,3,3,Matches
693,Federico Dimarco,it ITA,"DF,MF",Inter,it Serie A,21,1997,0.3,19,1,4,10,6,1,16,0,0,,0,0,9,79,56,13,8,61.5,0,1,Matches
694,Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,449,4,52,228,180,18,438,5,9,55.6,5,0,312,991,342,419,339,80.9,18,13,Matches
695,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,192,1,7,82,114,28,180,4,10,40.0,5,1,125,827,327,292,145,49.7,24,14,Matches
696,Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,1268,238,698,600,34,22,1226,4,5,80.0,4,0,602,3976,1928,625,603,96.5,3,5,Matches
697,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25.0,1049,50,165,728,198,24,1036,6,10,60.0,8,0,502,2281,884,605,531,87.8,16,16,Matches
698,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,65,1,23,39,4,0,64,2,2,100.0,2,0,36,233,122,41,35,85.4,1,3,Matches
699,Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,1717,237,1032,737,59,20,1685,10,14,71.4,10,0,1141,7710,4664,1180,1155,97.9,7,5,Matches
700,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,505,38,248,286,22,1,486,1,3,33.3,1,0,366,2238,1146,350,345,98.6,2,2,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
701,Djené,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,1295,133,610,680,56,14,1254,11,14,78.6,12,0,561,4037,1577,449,435,96.9,6,8,Matches
702,Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,1998,10.3,468,15,85,196,228,48,458,48,70,68.6,49,1,359,3030,2045,440,318,72.3,34,24,Matches
703,Koffi Djidji,ci CIV,DF,Torino,it Serie A,26,1992,9.5,531,108,327,217,14,0,517,7,8,87.5,7,0,307,1351,593,293,284,96.9,3,5,Matches
704,Alexander Djiku,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,24,1994,22.9,1503,134,746,783,71,19,1476,13,17,76.5,14,1,932,4757,2758,961,946,98.4,7,13,Matches
705,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,30.9,2162,147,873,1158,259,42,2061,13,17,76.5,14,2,1333,6508,3079,1448,1394,96.3,13,8,Matches
706,Naïs Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,25,0,1,10,14,2,25,1,2,50.0,2,0,23,145,111,23,23,100.0,0,0,Matches
707,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,1158,931,1146,13,2,2,742,1,1,100.0,1,0,495,3205,1907,364,360,98.9,0,0,Matches
708,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,2157,82,508,1098,661,95,1822,29,52,55.8,30,5,1185,6275,4064,1542,1319,85.5,46,23,Matches
709,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21.0,552,30,59,268,261,70,507,18,38,47.4,18,2,365,2244,954,660,386,58.5,48,35,Matches
710,Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,92,2,6,45,50,1,86,3,5,60.0,3,0,67,320,142,83,60,72.3,1,4,Matches
711,Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,500,457,500,0,0,0,322,0,0,,0,0,213,867,505,169,168,99.4,0,0,Matches
712,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,21,1998,7.8,488,17,120,275,114,7,462,6,9,66.7,7,0,286,1238,568,332,291,87.7,2,3,Matches
713,Giulio Donati,it ITA,DF,Lecce,it Serie A,29,1990,19.6,1150,101,412,560,257,17,1004,9,20,45.0,9,0,700,4440,2952,773,735,95.1,4,9,Matches
714,Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,36,0,2,17,18,5,35,0,2,0.0,0,0,25,76,22,34,31,91.2,3,5,Matches
715,Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,22,1996,6.8,205,6,24,90,119,24,194,25,35,71.4,26,0,165,1811,1010,293,146,49.8,13,10,Matches
716,Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.7,613,3,48,293,310,104,578,14,26,53.8,16,0,432,2378,1229,779,449,57.6,25,28,Matches
717,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,35.6,1245,1112,1241,4,0,0,897,0,0,,0,0,599,2726,1429,558,555,99.5,0,0,Matches
718,Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,1726,138,742,1038,55,26,1675,5,7,71.4,6,0,1112,6435,3598,1189,1173,98.7,6,8,Matches
719,Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,fr Ligue 1,31,1988,19.5,977,11,129,396,538,71,875,32,57,56.1,35,0,711,5530,3179,881,643,73.0,44,42,Matches
720,Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,584,23,46,331,218,76,570,4,7,57.1,5,1,200,563,260,759,447,58.9,23,7,Matches
721,Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,2065,74,421,1114,668,98,2053,49,78,62.8,51,2,1427,7286,3970,1619,1370,84.6,44,50,Matches
722,Mamadou Doucouré,fr FRA,MF,M'Gladbach,de Bundesliga,21,1998,0.0,9,0,6,5,0,0,9,0,0,,0,0,7,36,4,8,8,100.0,0,0,Matches
723,Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,24,1994,19.1,982,10,130,496,477,76,945,61,103,59.2,64,1,815,6658,4121,890,693,77.9,51,47,Matches
724,Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,362,22,134,182,83,1,299,4,7,57.1,5,3,222,1536,971,217,208,95.9,6,5,Matches
725,Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,59,3,14,32,15,1,49,4,5,80.0,4,0,38,184,141,34,32,94.1,0,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
726,Thomas Doyle,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2001,0.2,20,0,2,16,7,0,20,0,0,,0,0,19,100,20,19,19,100.0,0,0,Matches
727,Mohamed Dräger,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,1040,53,380,509,268,22,871,21,52,40.4,23,3,645,4999,2977,639,583,91.2,19,29,Matches
728,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,1051,61,436,620,58,3,1004,1,1,100.0,1,0,736,3338,1859,779,769,98.7,3,3,Matches
729,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,984,901,983,2,0,0,686,0,0,,0,0,405,2283,1285,355,352,99.2,1,0,Matches
730,Julian Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,560,4,76,360,181,22,545,13,21,61.9,13,0,467,2862,1591,491,444,90.4,7,11,Matches
731,Dominick Drexler,de GER,"MF,FW",Köln,de Bundesliga,29,1990,17.6,872,29,174,400,362,56,830,23,40,57.5,23,0,607,4063,2001,716,556,77.7,31,27,Matches
732,Danny Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,199,6,62,110,33,2,195,2,3,66.7,2,0,117,489,173,136,126,92.6,2,6,Matches
733,Danny Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,26,2,6,19,1,0,25,0,1,0.0,0,0,11,43,5,16,11,68.8,0,1,Matches
734,Josip Drmić,ch SUI,"FW,MF",Norwich City,eng Premier League,26,1992,7.2,240,6,20,134,96,24,228,6,14,42.9,6,1,155,682,260,300,159,53.0,24,13,Matches
735,Domingos Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,1566,251,899,710,45,21,1470,6,9,66.7,8,2,781,4886,2652,854,829,97.1,8,0,Matches
736,Léo Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.5,233,33,131,104,9,6,217,0,0,,0,0,138,658,270,151,151,100.0,1,1,Matches
737,Óscar Duarte,cr CRC,DF,Levante,es La Liga,30,1989,5.4,299,79,207,98,8,6,289,1,1,100.0,1,0,161,908,457,181,179,98.9,0,1,Matches
738,Rubén Duarte,es ESP,DF,Alavés,es La Liga,23,1995,29.6,1651,97,538,829,346,33,1323,4,10,40.0,5,0,745,3688,1863,791,730,92.3,14,16,Matches
739,Edgaras Dubickas,lt LTU,DF,Lecce,it Serie A,21,1998,0.0,2,0,0,2,0,0,2,0,0,,0,0,2,8,3,3,2,66.7,0,0,Matches
740,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,24,1994,15.0,1106,47,311,577,287,10,943,12,22,54.5,12,0,712,4012,2261,752,701,93.2,14,9,Matches
741,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,1201,1030,1195,7,0,0,719,0,0,,0,0,435,2614,1424,338,338,100.0,3,0,Matches
742,Ondrej Duda,sk SVK,MF,Norwich City,eng Premier League,24,1994,8.0,467,16,79,250,156,9,429,5,12,41.7,5,3,278,1230,526,401,307,76.6,14,3,Matches
743,Ondrej Duda,sk SVK,"MF,FW",Hertha BSC,de Bundesliga,24,1994,5.0,257,6,37,148,88,9,240,13,22,59.1,14,0,208,1058,512,209,171,81.8,11,10,Matches
744,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,27,1992,13.8,800,124,503,304,35,16,766,2,5,40.0,3,0,420,2022,1047,465,455,97.8,6,2,Matches
745,Haris Duljević,ba BIH,"FW,MF",Nîmes,fr Ligue 1,25,1993,5.8,235,1,23,108,130,13,224,12,20,60.0,13,0,189,1579,950,240,159,66.3,8,15,Matches
746,Paul Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,27,1991,13.6,663,92,337,264,86,6,613,1,3,33.3,1,0,327,1291,647,358,335,93.6,3,1,Matches
747,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,26,1993,9.9,515,14,111,298,158,13,504,25,39,64.1,26,4,402,2388,1530,433,391,90.3,12,19,Matches
748,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,26,1993,9.4,597,27,119,337,180,18,582,17,32,53.1,20,2,440,2120,1218,509,446,87.6,12,16,Matches
749,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,27,1991,35.9,2547,436,1559,1029,107,43,2448,3,7,42.9,3,0,1596,8765,4727,1737,1712,98.6,7,10,Matches
750,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,27,1992,5.7,322,11,82,124,132,16,276,5,7,71.4,5,0,188,1084,467,213,170,79.8,8,8,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
751,Riza Durmisi,dk DEN,DF,Nice,fr Ligue 1,25,1994,1.8,117,4,29,53,38,1,94,1,3,33.3,2,0,73,431,225,86,77,89.5,4,1,Matches
752,Hugo Duro,es ESP,"FW,MF",Getafe,es La Liga,19,1999,4.2,145,4,15,58,80,24,142,0,1,0.0,0,0,73,366,178,202,97,48.0,18,11,Matches
753,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,22,1997,13.1,999,137,577,470,34,5,975,8,13,61.5,9,0,654,4466,2427,686,679,99.0,1,5,Matches
754,Paulo Dybala,ar ARG,"FW,MF",Juventus,it Serie A,25,1993,23.9,1884,3,116,868,1049,124,1737,64,111,57.7,70,6,1370,8013,4161,1739,1521,87.5,50,49,Matches
755,Edin Džeko,ba BIH,FW,Roma,it Serie A,33,1986,31.7,1223,37,70,575,652,242,1182,40,74,54.1,45,0,743,4921,2340,1558,965,61.9,86,40,Matches
756,Blerim Džemaili,ch SUI,MF,Bologna,it Serie A,33,1986,7.8,456,12,72,286,134,14,437,7,13,53.8,9,1,308,1972,1189,359,302,84.1,8,21,Matches
757,Bruno Ecuele Manga,ga GAB,DF,Dijon,fr Ligue 1,31,1988,28.0,1617,266,1051,614,42,24,1564,6,9,66.7,6,0,968,4819,2278,1019,1001,98.2,8,10,Matches
758,Simone Edera,it ITA,"MF,FW",Torino,it Serie A,22,1997,4.4,200,2,27,90,105,17,184,4,14,28.6,5,1,144,792,508,193,134,69.4,9,13,Matches
759,Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,34.1,1133,947,1121,25,0,0,950,0,0,,0,0,702,3209,2148,668,665,99.6,2,0,Matches
760,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26,1992,35.4,1670,248,896,792,65,47,1638,3,3,100.0,3,1,803,4700,2585,861,831,96.5,8,1,Matches
761,Johannes Eggestein,de GER,"MF,FW",Werder Bremen,de Bundesliga,21,1998,5.7,273,6,50,132,111,25,267,1,5,20.0,2,1,194,1204,542,246,180,73.2,13,10,Matches
762,Maximilian Eggestein,de GER,"MF,DF",Werder Bremen,de Bundesliga,22,1996,31.7,1831,74,380,1054,514,45,1757,21,44,47.7,21,1,1222,6166,3396,1418,1207,85.1,32,36,Matches
763,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,24,1995,25.9,1523,102,561,705,367,21,1298,36,65,55.4,39,3,845,5323,3167,878,800,91.1,33,27,Matches
764,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,26.5,1454,80,396,914,256,27,1393,24,33,72.7,24,2,919,6205,3582,942,866,91.9,12,29,Matches
765,Harvey Elliot,eng ENG,DF,Liverpool,eng Premier League,16,2003,0.1,16,0,0,5,11,0,12,1,1,100.0,1,0,10,44,13,14,11,78.6,0,1,Matches
766,Elif Elmas,mk MKD,MF,Napoli,it Serie A,19,1999,12.6,812,11,119,470,288,28,804,27,33,81.8,28,0,680,3876,2064,776,660,85.1,18,19,Matches
767,Ilay Elmkies,il ISR,MF,Hoffenheim,de Bundesliga,19,2000,0.0,5,1,2,1,2,0,5,0,0,,0,0,2,15,8,4,3,75.0,0,0,Matches
768,Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,31,1987,11.5,718,48,211,327,240,17,622,6,9,66.7,7,0,429,2352,1408,462,424,91.8,4,5,Matches
769,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,25,1994,16.8,1145,147,561,614,56,15,1094,2,5,40.0,2,0,694,4755,2444,722,709,98.2,2,6,Matches
770,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,22,1996,29.1,2022,258,1198,949,36,13,1973,8,9,88.9,8,0,1311,7948,4582,1362,1334,97.9,5,6,Matches
771,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,25,1993,23.6,1111,159,635,496,22,15,1075,4,4,100.0,4,0,528,2576,983,569,544,95.6,3,8,Matches
772,Adri Embarba,es ESP,"MF,FW",Espanyol,es La Liga,27,1992,15.2,682,15,108,293,342,31,611,35,70,50.0,40,3,469,3995,2464,617,414,67.1,38,33,Matches
773,Breel Embolo,ch SUI,"FW,MF",M'Gladbach,de Bundesliga,22,1997,17.2,701,6,56,368,331,97,680,36,83,43.4,41,7,555,3601,1966,828,522,63.0,58,66,Matches
774,Emerson,br BRA,DF,Betis,es La Liga,20,1999,31.5,2008,101,595,874,673,96,1719,21,40,52.5,22,2,1234,7271,4588,1340,1221,91.1,44,37,Matches
775,Renaud Emond,be BEL,"FW,MF",Nantes,fr Ligue 1,27,1991,3.2,113,6,19,63,34,11,110,2,4,50.0,2,0,57,305,165,129,77,59.7,7,2,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
776,Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,25,1994,9.5,571,77,272,290,32,3,547,3,3,100.0,3,0,346,1409,686,353,344,97.5,1,3,Matches
777,Youssef En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,15.4,469,21,38,211,248,71,458,17,35,48.6,19,3,253,1686,998,744,335,45.0,42,26,Matches
778,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,8.8,261,9,29,145,103,43,248,6,14,42.9,6,0,136,855,498,345,188,54.5,24,18,Matches
779,Björn Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,16.1,776,154,489,310,34,13,757,2,2,100.0,2,0,435,2540,1449,469,461,98.3,0,2,Matches
780,Sergi Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20.7,746,14,49,342,374,84,717,9,12,75.0,10,3,357,1309,351,1062,527,49.6,61,27,Matches
781,Javier Eraso,es ESP,"MF,FW",Leganés,es La Liga,29,1990,9.1,387,5,37,195,172,29,358,3,6,50.0,3,1,239,1093,488,356,252,70.8,20,24,Matches
782,Christian Eriksen,dk DEN,"MF,FW",Tottenham,eng Premier League,27,1992,12.2,868,17,136,430,350,21,779,3,12,25.0,3,0,554,2673,1495,679,573,84.4,17,14,Matches
783,Christian Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,7.8,537,1,54,278,228,26,472,6,10,60.0,6,0,342,1601,787,456,383,84.0,11,10,Matches
784,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,18.6,851,32,134,530,226,33,833,18,24,75.0,21,0,424,2167,933,512,431,84.2,14,13,Matches
785,Aarón Escandell,es ESP,GK,Granada,es La Liga,23,1995,3.0,133,114,132,1,0,0,95,0,0,,0,0,68,425,285,45,45,100.0,0,0,Matches
786,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,29,1989,8.6,707,29,236,350,150,12,610,7,11,63.6,8,1,406,1703,1043,452,418,92.5,7,8,Matches
787,Espeto,br BRA,"DF,MF",SPAL,it Serie A,22,1997,23.4,1227,22,241,536,535,71,1147,53,87,60.9,55,2,937,5518,3241,966,810,83.9,34,42,Matches
788,Bernardo Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,25.1,1335,176,785,537,67,40,1299,1,1,100.0,1,0,617,3076,1438,745,701,94.1,12,3,Matches
789,Sebastiano Esposito,it ITA,FW,Inter,it Serie A,17,2002,2.2,103,0,13,32,64,21,94,1,4,25.0,2,0,63,220,93,112,65,58.0,6,5,Matches
790,Esquerdo,es ESP,MF,Valencia,es La Liga,20,1999,0.2,17,1,5,9,5,0,17,0,1,0.0,0,0,14,83,10,16,13,81.3,3,2,Matches
791,Alexander Esswein,de GER,"FW,MF",Hertha BSC,de Bundesliga,29,1990,2.4,129,9,41,59,39,6,122,2,3,66.7,2,1,68,430,255,94,80,85.1,3,0,Matches
792,Pervis Estupiñán,ec ECU,DF,Osasuna,es La Liga,21,1998,33.1,2256,102,611,1143,675,46,1873,63,108,58.3,68,3,1361,9115,6089,1348,1193,88.5,58,52,Matches
793,Oghenekaro Etebo,ng NGA,MF,Getafe,es La Liga,23,1995,6.4,293,6,58,161,95,13,289,6,9,66.7,6,0,187,1140,605,194,162,83.5,10,9,Matches
794,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,32,1987,4.4,235,8,34,153,57,4,203,0,1,0.0,1,0,124,457,227,141,129,91.5,2,4,Matches
795,Xabier Etxeita,es ESP,DF,Getafe,es La Liga,31,1987,16.1,581,64,252,309,30,11,564,0,0,,0,0,154,790,365,173,168,97.1,0,1,Matches
796,Antony Evans,eng ENG,"MF,DF",Paderborn 07,de Bundesliga,20,1998,1.7,95,5,25,33,43,3,80,2,4,50.0,3,0,44,286,135,58,48,82.8,0,5,Matches
797,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,37.6,2810,399,1484,1373,104,39,2732,9,10,90.0,9,0,1775,9493,5297,1905,1871,98.2,6,7,Matches
798,Edu Expósito,es ESP,MF,Eibar,es La Liga,22,1996,25.7,1174,33,194,732,320,25,1153,26,36,72.2,26,0,752,3970,1813,756,671,88.8,23,22,Matches
799,Valentin Eysseric,fr FRA,"MF,FW",Hellas Verona,it Serie A,27,1992,3.9,178,1,14,74,102,11,158,2,5,40.0,2,0,111,656,331,168,127,75.6,4,7,Matches
800,Valentin Eysseric,fr FRA,MF,Fiorentina,it Serie A,27,1992,0.5,31,0,0,16,18,4,28,1,1,100.0,1,0,25,173,113,27,22,81.5,2,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
801,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,34,1985,23.5,728,656,728,0,0,0,465,1,1,100.0,1,0,304,1956,992,229,226,98.7,1,0,Matches
802,Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,23.1,1735,42,379,1114,326,13,1715,10,12,83.3,11,1,1136,5164,2355,1257,1205,95.9,11,12,Matches
803,Fábio,br BRA,DF,Nantes,fr Ligue 1,29,1990,9.3,638,23,193,333,152,4,534,6,6,100.0,6,0,348,2025,1355,375,355,94.7,8,7,Matches
804,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,32,1987,10.3,825,18,125,457,284,27,763,6,8,75.0,6,0,556,2082,1112,739,652,88.2,9,6,Matches
805,Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1.0,35,32,35,0,0,0,23,0,0,,0,0,15,61,23,14,14,100.0,1,0,Matches
806,Ralf Fährmann,de GER,GK,Norwich City,eng Premier League,30,1988,0.2,12,11,11,1,0,0,9,0,0,,0,0,4,18,13,4,4,100.0,0,0,Matches
807,Fayçal Fajr,ma MAR,MF,Getafe,es La Liga,30,1988,4.5,227,2,28,113,97,4,187,2,2,100.0,2,1,117,407,162,139,111,79.9,3,2,Matches
808,Luca Falbo,it ITA,DF,Lazio,it Serie A,19,2000,0.0,2,0,2,0,0,0,2,0,0,,0,0,1,12,0,1,1,100.0,0,0,Matches
809,Filippo Falco,it ITA,"FW,MF",Lecce,it Serie A,27,1992,22.4,1278,4,119,616,675,65,1163,57,79,72.2,58,4,1052,8166,4783,1170,985,84.2,32,45,Matches
810,Eliseo Falcon,es ESP,"DF,MF",Levante,es La Liga,22,1997,0.8,28,6,15,13,2,0,26,2,2,100.0,2,0,23,173,92,19,19,100.0,0,0,Matches
811,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,24,1995,2.0,69,62,69,0,0,0,44,0,0,,0,0,28,104,33,21,21,100.0,0,0,Matches
812,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27,1992,1.0,74,12,53,25,2,2,70,1,1,100.0,1,0,33,252,148,38,35,92.1,0,0,Matches
813,Iago Falque,es ESP,"MF,FW",Torino,it Serie A,29,1990,1.1,76,0,3,43,32,5,72,3,4,75.0,3,0,61,433,180,66,59,89.4,1,2,Matches
814,Iago Falque,es ESP,MF,Genoa,it Serie A,29,1990,5.8,375,4,30,202,174,22,352,14,21,66.7,14,3,294,2300,1109,341,281,82.4,9,8,Matches
815,Akin Famewo,eng ENG,MF,Norwich City,eng Premier League,20,1998,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,Matches
816,Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,17,2002,1.6,77,4,15,39,25,2,76,2,3,66.7,2,0,56,220,89,65,53,81.5,1,5,Matches
817,Paolo Faragò,it ITA,DF,Cagliari,it Serie A,26,1993,14.9,1084,96,368,502,278,20,942,10,15,66.7,11,0,598,3751,2317,698,635,91.0,9,12,Matches
818,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,27,1991,35.9,2161,180,577,985,693,71,1851,41,69,59.4,43,6,1203,5461,2950,1343,1179,87.8,33,23,Matches
819,Mohamed Fares,dz ALG,"DF,MF",SPAL,it Serie A,23,1996,4.7,262,13,89,121,66,3,240,5,8,62.5,5,0,173,828,516,206,184,89.3,12,5,Matches
820,Diego Farias,br BRA,"FW,MF",Lecce,it Serie A,29,1990,9.2,477,8,70,197,245,55,452,24,36,66.7,27,2,372,2766,1711,446,362,81.2,19,17,Matches
821,Ansu Fati,es ESP,"FW,DF",Barcelona,es La Liga,16,2002,11.4,724,8,41,238,503,110,708,23,56,41.1,26,1,590,4224,2860,702,600,85.5,34,22,Matches
822,Julien Faussurier,fr FRA,DF,Brest,fr Ligue 1,32,1987,22.0,1502,94,501,666,433,35,1215,6,18,33.3,6,1,812,4076,2301,969,842,86.9,20,16,Matches
823,Andrea Favilli,it ITA,FW,Genoa,it Serie A,22,1997,7.3,293,7,19,149,148,36,279,6,11,54.5,6,0,179,1304,665,387,227,58.7,28,16,Matches
824,Federico Fazio,ar ARG,DF,Roma,it Serie A,32,1987,13.5,793,107,370,425,40,11,764,9,12,75.0,10,2,482,2571,1375,530,515,97.2,2,3,Matches
825,Aleix Febas,es ESP,MF,Mallorca,es La Liga,23,1996,18.8,906,9,150,523,292,42,889,30,48,62.5,30,2,716,4027,2120,819,671,81.9,32,43,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
826,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,30,1989,15.9,1236,177,671,611,35,16,1193,4,5,80.0,4,0,793,4412,2480,881,866,98.3,5,4,Matches
827,Ljubomir Fejsa,rs SRB,MF,Alavés,es La Liga,30,1988,8.7,357,24,110,219,36,0,355,3,4,75.0,4,0,178,685,132,196,178,90.8,2,3,Matches
828,Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,26,1993,29.3,1524,16,153,784,732,147,1472,85,128,66.4,88,3,1290,9026,5333,1486,1197,80.6,68,74,Matches
829,Felipe,br BRA,DF,Atlético Madrid,es La Liga,30,1989,23.4,1175,174,636,552,45,28,1144,4,5,80.0,4,1,607,3700,1500,662,631,95.3,4,2,Matches
830,Luiz Felipe,br BRA,DF,Lazio,it Serie A,22,1997,22.5,1405,212,698,736,107,17,1363,7,10,70.0,8,1,937,7759,4313,986,968,98.2,9,10,Matches
