Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Gaël Clichy,fr FRA,DF,25.0,33,33,2970.0,0,1,0,0,3,0,0.0,0.03,0.03,0.0,0.03,Matches,2010/2011,33.0
Bacary Sagna,fr FRA,DF,27.0,33,33,2970.0,1,2,0,0,3,1,0.03,0.06,0.09,0.03,0.09,Matches,2010/2011,33.0
Jack Wilshere,eng ENG,MF,18.0,35,31,2639.0,1,3,0,0,7,1,0.03,0.1,0.14,0.03,0.14,Matches,2010/2011,29.322222222222223
Laurent Koscielny,fr FRA,DF,24.0,30,30,2617.0,2,0,0,0,6,2,0.07,0.0,0.07,0.07,0.07,Matches,2010/2011,29.07777777777778
Alex Song,cm CMR,"DF,MF",22.0,31,30,2593.0,4,1,0,0,8,1,0.14,0.03,0.17,0.14,0.17,Matches,2010/2011,28.81111111111111
Samir Nasri,fr FRA,"FW,MF",23.0,30,28,2383.0,10,2,1,1,4,0,0.38,0.08,0.45,0.34,0.42,Matches,2010/2011,26.477777777777778
Andrey Arshavin,ru RUS,"FW,MF",29.0,37,25,2187.0,6,11,1,1,1,0,0.25,0.45,0.7,0.21,0.66,Matches,2010/2011,24.3
Cesc Fàbregas,es ESP,"FW,MF",23.0,25,22,1880.0,3,10,0,1,5,0,0.14,0.48,0.62,0.14,0.62,Matches,2010/2011,20.88888888888889
Sébastien Squillaci,fr FRA,DF,29.0,22,20,1820.0,1,0,0,0,1,0,0.05,0.0,0.05,0.05,0.05,Matches,2010/2011,20.22222222222222
Johan Djourou,ch SUI,DF,23.0,22,20,1794.0,1,0,0,0,3,0,0.05,0.0,0.05,0.05,0.05,Matches,2010/2011,19.933333333333334
Robin van Persie,nl NED,FW,26.0,25,19,1770.0,18,8,2,3,4,0,0.92,0.41,1.32,0.81,1.22,Matches,2010/2011,19.666666666666668
Theo Walcott,eng ENG,"FW,MF",21.0,28,19,1691.0,9,5,0,0,0,0,0.48,0.27,0.75,0.48,0.75,Matches,2010/2011,18.788888888888888
Marouane Chamakh,ma MAR,FW,26.0,29,18,1845.0,7,3,0,0,5,0,0.34,0.15,0.49,0.34,0.49,Matches,2010/2011,20.5
Wojciech Szczęsny,pl POL,GK,20.0,15,15,1350.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2010/2011,15.0
Łukasz Fabiański,pl POL,GK,25.0,14,14,1260.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2010/2011,14.0
