Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Alexis Sánchez,cl CHI,"FW,MF",27.0,38,36,3217.0,24.0,10.0,2.0,3.0,6.0,0.0,0.67,0.28,0.95,0.62,0.9,Matches,2016/2017,35.74444444444445
Nacho Monreal,es ESP,DF,30.0,36,35,3153.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2016/2017,35.03333333333333
Petr Čech,cz CZE,GK,34.0,35,35,3097.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2016/2017,34.41111111111111
Laurent Koscielny,fr FRA,DF,30.0,33,33,2822.0,2.0,0.0,0.0,0.0,4.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2016/2017,31.355555555555554
Mesut Özil,de GER,MF,27.0,33,32,2841.0,8.0,10.0,0.0,0.0,2.0,0.0,0.25,0.32,0.57,0.25,0.57,Matches,2016/2017,31.566666666666666
Granit Xhaka,ch SUI,MF,23.0,32,28,2485.0,2.0,2.0,0.0,0.0,5.0,2.0,0.07,0.07,0.14,0.07,0.14,Matches,2016/2017,27.61111111111111
Héctor Bellerín,es ESP,"DF,MF",21.0,33,27,2503.0,1.0,4.0,0.0,0.0,4.0,0.0,0.04,0.14,0.18,0.04,0.18,Matches,2016/2017,27.81111111111111
Shkodran Mustafi,de GER,DF,24.0,26,26,2274.0,2.0,2.0,0.0,0.0,11.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,2016/2017,25.266666666666666
Theo Walcott,eng ENG,MF,27.0,28,23,1916.0,10.0,2.0,0.0,1.0,1.0,0.0,0.47,0.09,0.56,0.47,0.56,Matches,2016/2017,21.288888888888888
Francis Coquelin,fr FRA,MF,25.0,29,22,1779.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2016/2017,19.766666666666666
Alex Iwobi,ng NGA,MF,20.0,26,18,1456.0,3.0,4.0,0.0,0.0,1.0,0.0,0.19,0.25,0.43,0.19,0.43,Matches,2016/2017,16.177777777777777
Alex Oxlade-Chamberlain,eng ENG,MF,22.0,29,16,1628.0,2.0,7.0,0.0,0.0,1.0,0.0,0.11,0.39,0.5,0.11,0.5,Matches,2016/2017,18.08888888888889
Gabriel Paulista,br BRA,DF,25.0,19,15,1517.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2016/2017,16.855555555555554
Aaron Ramsey,wal WAL,MF,25.0,23,13,1236.0,1.0,4.0,0.0,0.0,3.0,0.0,0.07,0.29,0.36,0.07,0.36,Matches,2016/2017,13.733333333333333
Olivier Giroud,fr FRA,FW,29.0,29,11,1206.0,12.0,3.0,0.0,0.0,2.0,0.0,0.9,0.22,1.12,0.9,1.12,Matches,2016/2017,13.4
Squad Total,,,,38,418,3420.0,73.0,55.0,4.0,6.0,0.0,0.0,1.92,1.45,3.37,1.82,3.26,,2016/2017,38.0
